"ASV","species","average","overall","sd","ratio","ava","avb","ord","cusum","p","Comparison","Position"
"ASV_14196","ASV_14196",0.0223487223084695,0.937233702964442,0.0247735288056931,0.902121069782099,11.7133333333333,610.141,11280,1,0.021,"control_LIA-1931_latrine_1984-2024",14196
"ASV_16169","ASV_16169",0.00913450629604988,0.937233702964442,0.0072772109401942,1.25522076673596,256.085666666667,13.579,14205,1,0.001,"control_LIA-1931_latrine_1984-2024",16169
"ASV_17637","ASV_17637",0.00649944555333777,0.937233702964442,0.0134310498609421,0.48391195183024,175.836,0,16166,1,0.005,"control_LIA-1931_latrine_1984-2024",17637
"ASV_16828","ASV_16828",0.00560370616791109,0.937233702964442,0.0122085041773232,0.459000225295393,151.602666666667,0,15129,1,0.001,"control_LIA-1931_latrine_1984-2024",16828
"ASV_14392","ASV_14392",0.0050201448953944,0.937233702964442,0.00956510255607477,0.524839630935908,135.815,0,11575,1,0.001,"control_LIA-1931_latrine_1984-2024",14392
"ASV_18787","ASV_18787",0.00497116877356398,0.937233702964442,0.00786317691107451,0.632208689920557,134.49,0,17732,1,0.031,"control_LIA-1931_latrine_1984-2024",18787
"ASV_18997","ASV_18997",0.00479760232621177,0.937233702964442,0.00833944236628213,0.575290542879623,129.794333333333,0.5116,18062,1,0.004,"control_LIA-1931_latrine_1984-2024",18997
"ASV_18329","ASV_18329",0.00439469209728691,0.937233702964442,0.00486643295732286,0.903062291379954,118.894,0,17119,1,0.001,"control_LIA-1931_latrine_1984-2024",18329
"ASV_15271","ASV_15271",0.00434227840615066,0.937233702964442,0.00943821996667019,0.46007387213742,117.476,0,12861,1,0.001,"control_LIA-1931_latrine_1984-2024",15271
"ASV_2884","ASV_2884",0.00428084571597546,0.937233702964442,0.00872103770983152,0.490864259324268,115.814,0,17312,0.982425322260501,0.001,"control_LIA-1931_latrine_1984-2024",2884
"ASV_17750","ASV_17750",0.0267363421305537,0.918062788004238,0.0473047030098652,0.565194165260439,0,723.325,16239,1,0.001,"control_LIA-1931_latrine_LIA",17750
"ASV_13169","ASV_13169",0.024724569379759,0.918062788004238,0.0211156013002436,1.17091476715246,185.379,731.1315,9630,1,0.01,"control_LIA-1931_latrine_LIA",13169
"ASV_18402","ASV_18402",0.0119630738522954,0.918062788004238,0.015592015590116,0.767256406534058,0,323.649,17120,1,0.005,"control_LIA-1931_latrine_LIA",18402
"ASV_16169","ASV_16169",0.00946572287523718,0.918062788004238,0.00753115225959106,1.25687578061941,256.085666666667,0,13997,1,0.002,"control_LIA-1931_latrine_LIA",16169
"ASV_17552","ASV_17552",0.00819645893398388,0.918062788004238,0.00867800836250606,0.944509222807073,1.446,221.747,15986,1,0.004,"control_LIA-1931_latrine_LIA",17552
"ASV_17562","ASV_17562",0.00589532047017077,0.918062788004238,0.0104306109873838,0.565194165260439,0,159.492,16001,1,0.037,"control_LIA-1931_latrine_LIA",17562
"ASV_19558","ASV_19558",0.00440729651807496,0.918062788004238,0.00779784503975567,0.565194165260439,0,119.235,18776,1,0.041,"control_LIA-1931_latrine_LIA",19558
"ASV_18900","ASV_18900",0.00400941943273946,0.918062788004238,0.00593509299587673,0.675544500402085,0.487333333333333,108.6305,17788,1,0.009,"control_LIA-1931_latrine_LIA",18900
"ASV_13168","ASV_13168",0.00359349818880757,0.918062788004238,0.00473268065626546,0.759294456948039,0,97.2185,9629,1,0.041,"control_LIA-1931_latrine_LIA",13168
"ASV_16317","ASV_16317",0.0034016226805648,0.918062788004238,0.00601850282548006,0.565194165260439,0,92.0275,14266,1,0.001,"control_LIA-1931_latrine_LIA",16317
"ASV_12230","ASV_12230",0.0196105936275597,0.931329986118298,0.0358815606609721,0.546536807940181,0,530.545,8600,1,0.004,"control_LIA-1931_latrine_LIA-1931",12230
"ASV_19024","ASV_19024",0.0126009462556369,0.931329986118298,0.0224103796946568,0.562281693899245,5.403,340.906,18108,1,0.044,"control_LIA-1931_latrine_LIA-1931",19024
"ASV_16169","ASV_16169",0.0092768865561059,0.931329986118298,0.00736394513858413,1.2597712749785,256.085666666667,8.17533333333333,14209,1,0.001,"control_LIA-1931_latrine_LIA-1931",16169
"ASV_10637","ASV_10637",0.00771224218230206,0.931329986118298,0.0114185981953407,0.675410593346653,5.30966666666667,208.647,6830,1,0.049,"control_LIA-1931_latrine_LIA-1931",10637
"ASV_17637","ASV_17637",0.00649944555333777,0.931329986118298,0.0135075806790069,0.481170218989626,175.836,0,16211,1,0.007,"control_LIA-1931_latrine_LIA-1931",17637
"ASV_11511","ASV_11511",0.00629033291441808,0.931329986118298,0.00596865100425095,1.05389524533065,0.0773333333333333,170.256,7807,1,0.001,"control_LIA-1931_latrine_LIA-1931",11511
"ASV_16828","ASV_16828",0.00560370616791109,0.931329986118298,0.012278068866734,0.456399636517244,151.602666666667,0,15143,1,0.001,"control_LIA-1931_latrine_LIA-1931",16828
"ASV_18787","ASV_18787",0.00557303910697124,0.931329986118298,0.00701272584414856,0.794703690237856,134.49,49.417,17737,1,0.012,"control_LIA-1931_latrine_LIA-1931",18787
"ASV_14392","ASV_14392",0.0050201448953944,0.931329986118298,0.0096196050060745,0.521866011361622,135.815,0,11539,1,0.001,"control_LIA-1931_latrine_LIA-1931",14392
"ASV_18997","ASV_18997",0.00479760232621177,0.931329986118298,0.00839786093917548,0.571288612774149,129.794333333333,0,18063,1,0.004,"control_LIA-1931_latrine_LIA-1931",18997
"ASV_18287","ASV_18287",0.027552857248466,0.943610085384786,0.045697618600502,0.60293857956448,745.415,0,16914,1,0.001,"control_LIA_latrine_LIA",18287
"ASV_17750","ASV_17750",0.0267363421305537,0.943610085384786,0.0478274227788877,0.559016994374947,0,723.325,16102,1,0.001,"control_LIA_latrine_LIA",17750
"ASV_13169","ASV_13169",0.025818178457899,0.943610085384786,0.0237394048611125,1.08756637367063,41.9425,731.1315,9369,1,0.002,"control_LIA_latrine_LIA",13169
"ASV_18294","ASV_18294",0.0246583314851778,0.943610085384786,0.0427126254382136,0.577307792068356,667.1065,0,16922,1,0.001,"control_LIA_latrine_LIA",18294
"ASV_18273","ASV_18273",0.0184330782878687,0.943610085384786,0.0317764003255939,0.580087048847444,489.6005,18.176,16891,1,0.038,"control_LIA_latrine_LIA",18273
"ASV_18292","ASV_18292",0.013996192799586,0.943610085384786,0.0231508498375202,0.604564968362528,363.9295,29.447,16919,1,0.017,"control_LIA_latrine_LIA",18292
"ASV_18402","ASV_18402",0.0119134508760257,0.943610085384786,0.0157645582091241,0.755711052475328,1.3425,323.649,17065,1,0.006,"control_LIA_latrine_LIA",18402
"ASV_19023","ASV_19023",0.0112510534486582,0.943610085384786,0.0201264962637466,0.559016994374947,304.386,0,17961,1,0.001,"control_LIA_latrine_LIA",19023
"ASV_10673","ASV_10673",0.00908847120573667,0.943610085384786,0.0157008132217007,0.578853533088027,246.469,4.601,6470,1,0.005,"control_LIA_latrine_LIA",10673
"ASV_17552","ASV_17552",0.00819645893398388,0.943610085384786,0.00882596423201943,0.928675747885791,0,221.747,15858,1,0.002,"control_LIA_latrine_LIA",17552
"ASV_19415","ASV_19415",0.0495752199305094,0.951903468782599,0.0742826713301371,0.667386067878206,0,1341.208,18889,1,0.007,"latrine_1931-1962_control_1931-1962",19415
"ASV_18755","ASV_18755",0.0388104285256647,0.951903468782599,0.0566114051365824,0.685558474163103,0,1049.97733333333,18061,1,0.002,"latrine_1931-1962_control_1931-1962",18755
"ASV_2726","ASV_2726",0.0265509474877406,0.951903468782599,0.0382380591417281,0.694359182544551,718.309333333333,0,2534,0.991474927978479,0.024,"latrine_1931-1962_control_1931-1962",2726
"ASV_13800","ASV_13800",0.0210782303705347,0.951903468782599,0.0301925466310521,0.69812694596806,0.322666666666667,570.358,11827,1,0.007,"latrine_1931-1962_control_1931-1962",13800
"ASV_12302","ASV_12302",0.0207817205095981,0.951903468782599,0.0273257664531637,0.760517387324448,0,562.228666666667,9951,1,0.045,"latrine_1931-1962_control_1931-1962",12302
"ASV_19084","ASV_19084",0.011652793179074,0.951903468782599,0.0174791897686109,0.666666666666667,0,315.254666666667,18483,1,0.033,"latrine_1931-1962_control_1931-1962",19084
"ASV_14467","ASV_14467",0.0108668835169168,0.951903468782599,0.0163003252753752,0.666666666666667,293.992666666667,0,12690,1,0.023,"latrine_1931-1962_control_1931-1962",14467
"ASV_16733","ASV_16733",0.0103147039254824,0.951903468782599,0.0154720558882236,0.666666666666667,0,279.054,15643,1,0.05,"latrine_1931-1962_control_1931-1962",16733
"ASV_10650","ASV_10650",0.0101680260877422,0.951903468782599,0.00879081194761504,1.15666518045592,8.15866666666667,277.805333333333,8039,1,0.006,"latrine_1931-1962_control_1931-1962",10650
"ASV_16732","ASV_16732",0.00880808752864641,0.951903468782599,0.0132121312929696,0.666666666666667,238.294,0,15642,1,0.012,"latrine_1931-1962_control_1931-1962",16732
"ASV_2726","ASV_2726",0.0265509474877406,0.975515876888199,0.0366674921569727,0.724100447722919,718.309333333333,0,11373,0.99651565483327,0.01,"latrine_1931-1962_control_1984-2024",2726
"ASV_14467","ASV_14467",0.0108668835169168,0.975515876888199,0.0156308155436341,0.695221787153807,293.992666666667,0,12850,1,0.035,"latrine_1931-1962_control_1984-2024",14467
"ASV_16732","ASV_16732",0.00880808752864641,0.975515876888199,0.0126694641787711,0.695221787153807,238.294,0,15627,1,0.017,"latrine_1931-1962_control_1984-2024",16732
"ASV_16172","ASV_16172",0.00476142283334565,0.975515876888199,0.00551640180029042,0.863139235632723,127.928,10.8666,14957,1,0.019,"latrine_1931-1962_control_1984-2024",16172
"ASV_20090","ASV_20090",0.00392678839851162,0.975515876888199,0.00557567796541814,0.704271018316808,106.235333333333,0,19797,1,0.041,"latrine_1931-1962_control_1984-2024",20090
"ASV_10602","ASV_10602",0.0038451738498312,0.975515876888199,0.00438974985462024,0.875943727359347,104.027333333333,0,8227,1,0.043,"latrine_1931-1962_control_1984-2024",10602
"ASV_13156","ASV_13156",0.00367554520588453,0.975515876888199,0.00312173173482593,1.17740584973407,101.478666666667,11.2462,11206,1,0.04,"latrine_1931-1962_control_1984-2024",13156
"ASV_3195","ASV_3195",0.00352177127227027,0.975515876888199,0.00506568024383726,0.695221787153807,95.278,0,17452,0.999926878267241,0.001,"latrine_1931-1962_control_1984-2024",3195
